tx_type,client,tx,amount
chargeback,45,27,99.8611
dispute,22,44,10.4284
chargeback,84,21,84.4128
deposit,41,90,62.6831
deposit,9,38,49.2467
chargeback,24,68,30.4661
dispute,57,40,95.0792
dispute,53,69,23.2178
dispute,5,30,70.7361
withdraw,42,69,93.4957
chargeback,77,58,69.4125
withdraw,31,72,2.3473
dispute,72,9,71.9117
dispute,5,51,23.2423
resolve,4,93,88.4687
resolve,17,19,5.5857
deposit,22,5,30.8545
resolve,4,94,82.5225
resolve,93,70,34.1085
chargeback,19,26,78.0302
deposit,88,49,60.4678
chargeback,24,14,23.8682
withdraw,87,53,10.8693
withdraw,5,60,75.5109
resolve,64,88,95.7738
deposit,53,35,26.6347
resolve,5,97,62.3363
resolve,12,33,12.9878
withdraw,65,68,41.6879
dispute,88,67,13.946
resolve,48,65,88.8685
dispute,6,92,68.505
chargeback,79,33,49.9204
resolve,100,78,50.1419
withdraw,21,21,97.5752
dispute,100,12,84.2205
deposit,24,47,41.0356
resolve,9,9,23.2555
chargeback,88,58,18.675
chargeback,45,38,32.4975
dispute,48,72,46.2884
resolve,73,23,68.2986
withdraw,51,56,6.5624
deposit,86,48,66.5086
resolve,87,83,68.0703
resolve,28,68,90.7587
dispute,45,95,22.1698
dispute,91,13,36.1157
deposit,43,50,77.0283
dispute,95,4,29.5004
chargeback,5,60,46.1889
dispute,84,49,36.9544
withdraw,23,35,42.3651
withdraw,38,66,34.4849
resolve,45,65,61.4496
resolve,42,32,68.4349
chargeback,85,39,32.4217
withdraw,94,14,64.391
deposit,24,10,5.8044
deposit,19,94,43.2211
deposit,51,55,44.0938
resolve,12,86,27.93
resolve,71,12,68.6363
dispute,92,47,61.9807
withdraw,77,65,36.8139
dispute,72,51,33.0504
resolve,32,55,89.237
withdraw,91,35,82.306
chargeback,99,82,7.4625
dispute,19,85,40.5038
deposit,13,43,96.6377
deposit,84,28,24.0867
withdraw,57,38,86.406
dispute,38,9,1.8993
dispute,75,52,79.6528
withdraw,57,76,4.7464
withdraw,78,21,19.5412
withdraw,89,64,25.5943
chargeback,50,16,23.4057
deposit,11,53,70.7211
dispute,26,36,22.8196
resolve,6,66,20.0025
dispute,19,12,90.5459
chargeback,29,18,53.0605
withdraw,46,89,82.7371
dispute,19,5,54.9503
deposit,65,68,23.9557
dispute,70,39,89.6604
deposit,83,37,13.0138
chargeback,35,53,20.9669
chargeback,6,55,0.6165
dispute,57,98,89.5097
deposit,1,76,19.6837
chargeback,11,30,21.5965
dispute,47,90,69.2321
resolve,22,46,93.2743
withdraw,60,33,80.7083
withdraw,23,90,79.0921
withdraw,77,37,71.7399
deposit,48,1,63.1592
deposit,58,48,12.6693
chargeback,99,28,77.6052
resolve,43,95,93.1288
chargeback,65,13,99.0911
withdraw,47,26,88.7689
chargeback,56,79,20.853
withdraw,45,60,78.6214
resolve,64,90,91.2313
withdraw,73,47,10.5411
chargeback,9,28,12.2044
chargeback,82,55,66.4623
chargeback,41,17,6.3862
resolve,42,94,26.8575
resolve,73,2,59.6108
resolve,40,5,83.3169
deposit,2,78,48.9925
dispute,58,10,51.1176
withdraw,15,92,23.1106
withdraw,89,69,95.2274
deposit,52,83,38.3158
chargeback,16,76,61.6371
deposit,49,31,35.0069
chargeback,34,10,42.3982
chargeback,17,71,17.4295
chargeback,64,87,87.8853
chargeback,68,97,1.5716
dispute,70,91,43.5897
dispute,36,33,68.793
withdraw,44,90,74.541
chargeback,29,76,81.843
chargeback,75,34,36.7999
chargeback,73,66,13.8917
dispute,70,19,24.803
dispute,62,22,10.463
withdraw,7,25,19.1533
resolve,63,100,18.9374
dispute,22,88,10.1316
deposit,96,39,49.5419
dispute,36,28,12.9597
dispute,87,6,46.9595
resolve,86,19,46.16
dispute,76,47,57.7986
withdraw,81,11,88.3693
resolve,91,4,59.8907
dispute,67,67,85.4871
resolve,78,69,72.285
dispute,58,57,6.301
dispute,84,16,56.3419
chargeback,59,91,59.8967
resolve,27,63,18.1374
resolve,82,89,94.9548
resolve,73,98,34.8458
withdraw,70,85,3.5962
dispute,83,25,55.8155
chargeback,86,87,87.579
withdraw,4,51,12.4865
resolve,32,36,86.8018
deposit,60,6,75.6513
chargeback,49,64,88.2017
chargeback,83,3,63.8634
chargeback,78,56,70.9569
resolve,5,67,97.7233
dispute,36,39,44.6821
withdraw,89,10,21.3145
withdraw,51,33,85.8701
deposit,24,88,54.094
dispute,80,44,90.7367
deposit,37,51,88.0549
chargeback,93,53,10.5658
withdraw,1,26,46.4197
dispute,85,68,65.7334
dispute,51,83,49.2149
deposit,51,43,3.1608
chargeback,11,34,56.7654
withdraw,55,18,97.2856
chargeback,54,76,28.8528
deposit,87,5,99.2303
deposit,72,61,37.728
resolve,43,25,59.85
withdraw,67,45,76.067
resolve,86,1,83.3231
dispute,100,5,46.226
chargeback,17,81,57.7094
dispute,59,27,85.4975
withdraw,92,51,40.7173
deposit,88,54,18.0361
dispute,43,36,76.0302
dispute,76,73,63.225
deposit,32,59,14.0589
dispute,17,3,68.3569
resolve,91,70,31.2995
withdraw,40,67,16.3975
deposit,57,84,24.4585
dispute,75,44,80.3045
resolve,88,14,57.4041
withdraw,80,52,21.9424
deposit,70,52,55.3882
resolve,53,72,25.1627
resolve,7,88,46.2085
withdraw,45,6,52.0399
chargeback,52,70,75.7485
dispute,5,25,9.2594
resolve,100,48,1.1925
withdraw,24,49,81.2839
chargeback,68,61,34.4674
chargeback,43,35,53.6431
dispute,34,27,41.9066
resolve,44,16,42.0888
chargeback,28,76,22.6056
deposit,91,97,94.9017
chargeback,49,86,12.976
chargeback,36,95,24.9993
deposit,24,33,59.853
chargeback,37,70,1.64
dispute,61,29,16.066
deposit,79,87,21.7102
resolve,70,80,25.631
dispute,22,70,58.2204
resolve,36,49,54.2056
chargeback,46,70,20.0846
dispute,44,57,28.3434
withdraw,92,71,75.534
withdraw,76,63,53.6916
resolve,61,86,34.9666
resolve,100,98,99.9476
dispute,32,59,54.6674
chargeback,63,24,28.8388
deposit,60,38,12.2852
deposit,56,93,68.136
chargeback,23,38,4.4893
withdraw,73,7,4.8899
dispute,66,97,87.945
dispute,9,91,95.9192
chargeback,51,97,52.0644
dispute,48,6,0.6499
dispute,70,93,33.3601
chargeback,56,44,98.606
chargeback,96,71,40.9057
dispute,10,100,54.0833
withdraw,65,63,83.282
chargeback,36,100,22.4133
dispute,15,43,23.1797
chargeback,48,30,63.1904
withdraw,5,53,30.0525
resolve,33,90,48.9765
deposit,31,43,98.3375
deposit,97,22,33.5414
resolve,15,59,78.0281
dispute,39,99,60.6943
deposit,53,99,61.5599
chargeback,61,1,0.3503
withdraw,47,24,41.7476
chargeback,79,26,43.0253
dispute,73,42,76.8861
resolve,6,76,89.632
chargeback,82,79,27.8416
withdraw,46,54,63.9497
deposit,42,62,29.0694
chargeback,85,34,41.8105
deposit,85,5,48.4753
resolve,16,25,19.491
dispute,4,68,74.8565
deposit,75,95,35.2545
withdraw,80,72,13.5564
chargeback,53,37,43.801
resolve,62,12,59.7536
deposit,85,12,47.9004
withdraw,84,19,18.4163
resolve,10,41,74.6858
dispute,62,98,7.143
withdraw,73,69,17.7984
chargeback,56,12,89.5452
chargeback,86,2,48.5866
chargeback,43,3,82.9525
withdraw,100,67,87.1661
resolve,48,98,26.8582
chargeback,77,95,35.8342
deposit,66,45,17.2478
chargeback,94,70,39.4729
resolve,43,23,4.5987
withdraw,89,62,23.5541
resolve,68,57,11.2214
deposit,31,12,45.7187
dispute,6,89,68.6673
chargeback,14,63,25.995
chargeback,66,4,28.5166
withdraw,73,16,31.5603
resolve,13,38,18.0826
chargeback,57,95,19.0808
chargeback,32,93,89.1853
resolve,36,85,29.4202
dispute,4,67,58.7442
dispute,95,33,71.7679
chargeback,87,21,50.4976
dispute,31,41,83.6868
deposit,78,83,20.2774
resolve,56,98,58.2658
withdraw,60,19,76.0202
deposit,36,79,87.9671
chargeback,52,15,77.3797
deposit,55,53,69.27
dispute,21,29,27.5915
resolve,68,78,77.3802
chargeback,69,48,62.8562
deposit,82,23,0.2416
deposit,52,66,35.396
resolve,50,90,28.5843
deposit,17,28,44.1668
chargeback,7,6,3.7205
withdraw,41,41,55.8447
withdraw,66,8,41.7512
resolve,48,93,1.07
chargeback,24,93,5.425
dispute,2,75,27.5285
dispute,90,39,35.0542
deposit,30,34,41.5185
chargeback,10,51,96.395
deposit,95,92,45.2439
resolve,82,57,1.0987
deposit,43,32,97.057
chargeback,29,11,19.0275
chargeback,77,90,55.9329
withdraw,69,40,83.9046
resolve,8,69,26.7402
chargeback,21,4,98.9582
deposit,55,87,87.2872
resolve,73,89,0.7433
dispute,10,5,51.2566
withdraw,5,48,11.1192
resolve,64,59,74.2847
resolve,16,76,29.6381
deposit,23,51,39.0249
deposit,26,17,99.1931
dispute,72,66,37.7518
dispute,87,23,8.8096
withdraw,27,22,23.5918
chargeback,47,56,40.5615
withdraw,48,99,42.7476
chargeback,14,92,66.449
dispute,33,20,83.9607
withdraw,60,94,2.3953
resolve,29,10,80.1006
withdraw,83,15,84.517
deposit,8,71,29.9473
deposit,44,86,20.6956
withdraw,54,91,73.5345
dispute,33,26,34.1314
dispute,83,84,62.9364
resolve,52,14,1.9667
deposit,68,71,81.1077
chargeback,52,73,75.2814
deposit,78,70,50.6249
resolve,36,4,93.2884
withdraw,71,39,17.0105
resolve,3,43,55.5118
chargeback,73,37,87.2242
chargeback,53,42,9.7178
deposit,48,57,60.0626
withdraw,19,99,3.4883
resolve,2,89,28.8089
deposit,25,18,62.5967
withdraw,79,27,35.4173
dispute,89,31,3.4965
deposit,3,86,21.9073
dispute,46,77,54.6531
dispute,50,83,37.8615
dispute,79,3,33.6672
deposit,9,72,56.4158
withdraw,94,78,64.4618
deposit,11,63,62.9654
withdraw,38,5,53.4307
deposit,17,26,77.3076
dispute,57,44,70.8861
deposit,95,36,13.8798
withdraw,34,54,24.6786
chargeback,32,73,51.8227
withdraw,3,32,49.4524
resolve,87,12,81.6112
resolve,62,86,2.6529
deposit,18,17,16.703
chargeback,40,28,67.5706
withdraw,66,18,23.9283
dispute,42,48,61.7545
deposit,87,49,22.8225
withdraw,30,33,11.0271
withdraw,43,25,48.1128
resolve,7,20,88.9909
deposit,8,42,6.0214
withdraw,10,30,26.6325
resolve,21,33,92.2933
chargeback,56,50,94.8033
resolve,48,21,10.825
dispute,28,44,80.9819
chargeback,55,83,70.9182
dispute,61,4,1.5635
resolve,94,49,0.1601
withdraw,96,10,6.0323
dispute,91,12,6.0238
resolve,30,54,21.9011
chargeback,65,94,63.3573
dispute,1,38,78.6729
deposit,68,67,80.8364
resolve,76,45,33.2978
chargeback,48,90,55.3882
chargeback,25,71,75.0992
withdraw,63,26,14.1367
chargeback,16,41,66.0195
withdraw,31,27,75.7227
deposit,77,75,7.8301
resolve,43,95,32.5219
chargeback,49,79,84.6038
dispute,34,3,84.3706
dispute,82,38,78.6363
deposit,21,70,30.3487
deposit,54,72,38.1052
dispute,89,73,80.2423
chargeback,1,99,25.8888
chargeback,44,26,97.2148
withdraw,91,66,53.4401
resolve,51,89,91.3202
chargeback,78,77,32.9442
chargeback,81,65,72.5246
dispute,44,32,63.4786
resolve,9,64,86.4977
deposit,77,32,10.856
chargeback,68,30,32.0428
withdraw,76,10,59.0393
dispute,71,28,13.6811
chargeback,99,58,60.5298
dispute,29,62,2.8092
resolve,38,36,95.197
chargeback,94,50,3.1989
withdraw,74,79,51.4017
withdraw,33,98,49.3582
dispute,27,36,93.7951
dispute,64,28,31.2053
dispute,8,33,34.0486
withdraw,22,98,34.9232
dispute,61,94,32.112
dispute,3,20,2.1696
resolve,76,18,81.1536
resolve,22,34,10.0104
chargeback,55,48,84.7923
resolve,54,57,54.0168
chargeback,45,33,95.64
withdraw,86,83,77.1467
chargeback,87,86,70.8845
withdraw,11,52,94.3068
withdraw,70,88,25.5833
dispute,22,49,40.4869
chargeback,38,89,22.2922
chargeback,10,15,42.339
withdraw,79,18,40.041
deposit,75,41,16.3397
deposit,63,71,99.4225
deposit,90,77,31.2518
deposit,85,59,46.7942
resolve,53,94,65.8728
deposit,65,20,79.6384
resolve,76,34,65.4177
withdraw,21,54,61.1351
resolve,56,23,5.5261
chargeback,19,83,49.8782
resolve,97,19,68.5949
resolve,89,60,98.5313
dispute,70,58,18.6833
withdraw,56,69,35.0092
dispute,61,80,12.0548
withdraw,98,17,11.5114
dispute,86,99,84.6457
chargeback,84,26,24.3326
resolve,72,41,2.8792
chargeback,77,3,44.4355
deposit,86,32,30.867
chargeback,54,64,15.7459
dispute,71,63,72.5906
resolve,66,65,5.3538
resolve,47,18,40.3762
dispute,58,33,30.1458
deposit,99,11,76.3126
resolve,90,54,15.4428
chargeback,58,100,87.2596
withdraw,14,23,41.564
deposit,72,2,41.6976
chargeback,12,39,80.5671
dispute,33,73,77.6625
deposit,78,70,53.9485
chargeback,38,69,85.3108
dispute,64,90,62.9138
dispute,83,88,47.8286
withdraw,18,95,75.2633
deposit,78,88,42.6087
resolve,38,24,76.8328
dispute,24,96,73.7398
deposit,77,29,90.1241
withdraw,87,73,83.5677
deposit,70,55,15.7233
dispute,89,100,80.6409
dispute,35,28,74.3107
deposit,52,35,70.1816
dispute,3,28,54.6262
chargeback,74,78,8.9571
deposit,6,35,70.6512
dispute,72,16,65.2961
chargeback,37,42,80.2085
deposit,54,49,23.7
dispute,19,85,90.8412
withdraw,65,18,27.7448
deposit,13,67,64.6642
resolve,79,69,58.5186
resolve,58,76,4.3479
dispute,88,41,58.3103
resolve,19,9,72.8367
withdraw,66,32,45.0147
resolve,20,93,39.2063
deposit,25,36,33.8558
resolve,72,37,24.0779
withdraw,91,12,99.8685
deposit,54,36,52.0716
withdraw,67,74,19.1802
deposit,66,96,43.0318
dispute,31,30,11.5358
dispute,51,97,64.3086
withdraw,21,51,73.7566
dispute,11,91,90.2833
deposit,70,26,77.2444
withdraw,80,70,53.0105
deposit,6,41,20.4882
withdraw,38,24,58.0228
withdraw,23,80,34.8674
dispute,92,83,65.095
resolve,89,55,3.6318
dispute,36,68,31.2587
chargeback,82,49,62.5883
dispute,77,24,37.4711
deposit,49,30,2.8629
resolve,49,92,50.0169
deposit,77,5,75.9974
resolve,26,78,40.1944
deposit,17,8,18.5733
withdraw,17,47,55.0836
chargeback,76,27,10.1373
withdraw,7,76,60.7986
withdraw,79,46,86.8645
chargeback,80,2,13.0445
chargeback,10,71,5.3746
chargeback,72,2,21.3276
chargeback,50,97,95.623
resolve,62,36,26.0718
dispute,93,80,52.4865
deposit,12,52,79.9572
deposit,75,47,80.16
deposit,15,46,55.3187
withdraw,11,23,98.1937
withdraw,17,11,88.0958
chargeback,13,12,6.4411
deposit,69,74,3.3439
deposit,67,85,78.6372
dispute,1,54,56.6659
withdraw,1,36,84.9986
chargeback,13,19,73.335
chargeback,51,73,54.3523
dispute,23,95,8.2843
deposit,14,3,84.9011
deposit,91,85,7.1232
chargeback,75,29,34.8038
dispute,91,73,18.4404
deposit,83,11,64.3148
resolve,22,48,6.8446
withdraw,15,41,45.2958
dispute,27,70,79.6259
dispute,2,50,65.6494
resolve,12,73,87.08
deposit,91,57,25.5364
deposit,18,78,39.4428
dispute,83,38,11.0213
deposit,66,23,42.0841
dispute,4,90,74.6866
dispute,48,58,7.581
withdraw,29,48,7.9097
resolve,33,60,70.3069
resolve,79,9,26.8614
withdraw,100,30,36.2099
chargeback,1,23,18.0353
deposit,67,17,25.4357
chargeback,25,21,76.501
withdraw,47,7,79.8165
withdraw,52,57,17.8625
resolve,99,32,70.058
withdraw,63,29,64.9308
resolve,73,93,91.5067
deposit,87,5,79.2357
dispute,100,88,46.3616
dispute,50,40,64.3252
dispute,71,79,29.0203
dispute,58,92,8.4265
resolve,88,32,6.526
resolve,27,83,94.8725
withdraw,50,86,82.7178
chargeback,69,81,46.9378
resolve,72,34,43.5113
withdraw,85,30,3.7991
dispute,37,97,61.6934
resolve,27,27,33.1543
dispute,51,99,62.7071
dispute,55,8,21.5297
chargeback,59,37,73.9226
dispute,4,21,79.0386
deposit,62,78,2.766
resolve,18,91,14.7208
chargeback,2,76,38.0806
dispute,84,12,4.4351
withdraw,25,55,83.2942
deposit,7,6,39.9302
dispute,76,51,32.7468
withdraw,68,73,62.1137
chargeback,91,88,49.6953
dispute,66,74,41.3604
withdraw,51,82,37.3314
dispute,39,79,11.9846
deposit,9,66,4.0112
resolve,76,40,41.4315
resolve,69,97,0.1173
resolve,79,92,88.1519
dispute,5,75,16.008
resolve,33,81,91.1715
resolve,85,36,40.3492
withdraw,79,30,2.9141
deposit,50,69,90.0054
deposit,45,76,64.7741
withdraw,7,80,60.5881
chargeback,100,82,45.995
deposit,24,4,93.6647
dispute,22,66,35.9701
resolve,61,6,64.8523
resolve,20,3,35.4037
withdraw,63,76,94.7014
resolve,13,58,63.9696
deposit,98,20,36.5945
deposit,54,7,2.3242
resolve,62,77,65.384
resolve,60,79,81.3387
withdraw,79,27,96.5002
chargeback,100,78,41.8803
withdraw,40,6,64.773
resolve,98,30,39.1417
resolve,1,59,49.4695
withdraw,74,1,44.6374
resolve,85,52,53.7677
dispute,45,89,75.7385
resolve,9,65,52.1646
chargeback,7,86,42.726
withdraw,75,48,53.6261
chargeback,39,27,7.5259
resolve,83,80,24.072
deposit,4,75,31.6125
withdraw,6,22,25.5781
dispute,72,19,59.5836
dispute,98,33,6.9044
resolve,86,72,13.5972
resolve,63,40,77.9282
deposit,44,48,20.7431
withdraw,57,52,88.4493
deposit,3,16,71.6107
dispute,79,6,32.1346
deposit,77,39,76.2675
withdraw,62,100,63.4645
deposit,49,51,81.379
dispute,29,84,94.7853
chargeback,57,86,54.6301
chargeback,79,56,35.8035
chargeback,39,9,52.3222
dispute,80,96,51.531
deposit,22,78,63.1268
dispute,17,9,24.613
chargeback,39,67,58.7784
chargeback,69,78,15.5994
resolve,38,48,24.142
chargeback,24,60,13.5848
chargeback,3,86,7.0153
dispute,91,37,19.5718
withdraw,57,81,62.2128
chargeback,3,9,4.1202
withdraw,97,1,87.7063
deposit,43,8,87.5134
dispute,67,97,91.0767
dispute,42,72,2.8247
dispute,47,36,13.616
resolve,13,8,13.7229
dispute,32,77,80.2619
withdraw,51,54,39.3197
resolve,87,58,89.0592
chargeback,77,60,34.1586
deposit,68,19,5.9841
resolve,96,56,68.0795
dispute,76,18,69.828
deposit,34,88,78.6153
resolve,16,91,50.7976
withdraw,96,89,99.5669
resolve,97,7,87.7302
chargeback,84,92,96.0928
chargeback,83,24,16.615
resolve,29,19,5.9659
deposit,44,11,78.8663
dispute,98,23,91.5307
withdraw,61,83,74.2824
dispute,4,79,0.3332
chargeback,58,12,27.2404
chargeback,19,55,74.3874
deposit,37,36,3.8572
deposit,18,27,94.6346
withdraw,26,16,34.195
withdraw,72,71,97.0672
resolve,64,19,19.6461
dispute,35,20,30.8853
chargeback,40,3,77.09
chargeback,82,68,58.5221
resolve,39,43,96.3
dispute,79,97,64.2659
resolve,59,98,44.1461
resolve,1,87,0.2385
chargeback,50,40,30.5442
resolve,1,11,49.9464
deposit,33,9,54.6485
resolve,51,38,22.1654
withdraw,28,36,35.6985
resolve,1,27,51.2978
resolve,74,2,55.1687
resolve,39,98,35.6997
dispute,29,56,61.8194
deposit,95,36,31.9959
withdraw,100,29,57.2363
resolve,42,24,97.8263
chargeback,13,22,29.8199
resolve,61,63,85.5598
dispute,11,94,78.3245
resolve,75,26,85.5599
deposit,56,55,56.5774
dispute,68,67,55.5392
dispute,60,6,20.0464
resolve,6,31,6.5686
chargeback,8,83,25.6484
dispute,78,61,8.7086
dispute,10,40,45.9202
chargeback,82,10,12.6161
chargeback,63,52,89.5906
deposit,28,50,53.036
dispute,80,99,22.8013
withdraw,12,81,87.5051
deposit,32,92,65.3364
resolve,38,70,20.5846
chargeback,98,83,82.1709
resolve,15,57,49.4839
resolve,95,29,85.1874
chargeback,12,83,24.7201
chargeback,44,91,1.0703
resolve,85,97,59.901
deposit,78,89,95.3213
deposit,70,31,76.4433
dispute,70,22,69.325
resolve,62,93,54.5465
resolve,19,81,57.9618
deposit,63,79,94.4505
resolve,75,27,90.5758
deposit,32,97,96.5594
deposit,6,3,76.3628
deposit,33,64,94.6369
dispute,95,68,68.5873
resolve,22,83,56.1104
dispute,9,23,41.6806
deposit,39,91,21.7825
dispute,66,84,64.7687
chargeback,66,76,39.463
resolve,52,3,54.8913
chargeback,73,66,96.1784
resolve,47,68,52.4003
withdraw,12,29,46.81
deposit,8,98,66.403
chargeback,69,49,93.2173
chargeback,68,75,85.6906
resolve,87,28,20.2074
chargeback,66,5,1.1916
deposit,7,82,29.7067
resolve,33,19,0.2533
deposit,86,23,39.5912
dispute,13,49,34.6012
resolve,73,57,73.9777
resolve,2,44,9.7264
resolve,71,83,54.6597
deposit,27,53,44.5351
withdraw,74,86,31.2547
dispute,90,60,93.896
resolve,34,68,61.9206
withdraw,15,44,68.9746
withdraw,64,35,92.9591
chargeback,68,88,46.1868
deposit,9,27,34.2091
dispute,51,88,27.1939
deposit,27,71,39.2998
resolve,99,7,73.4526
dispute,2,73,86.2002
deposit,28,47,84.7465
chargeback,14,63,25.2004
chargeback,53,1,7.5695
dispute,33,89,85.2125
withdraw,20,68,82.7333
resolve,39,10,47.3614
resolve,5,22,57.0933
dispute,41,32,31.1959
deposit,86,11,33.0356
deposit,59,73,56.2492
chargeback,51,40,8.1755
withdraw,56,26,91.7276
dispute,86,33,84.0711
deposit,34,25,45.8524
deposit,15,64,67.2037
deposit,12,21,23.3851
deposit,31,84,63.2461
deposit,35,37,20.1711
resolve,57,79,30.9015
dispute,2,92,79.3572
withdraw,41,21,92.9737
deposit,34,71,80.563
withdraw,84,74,37.5683
withdraw,68,74,25.9422
dispute,67,63,22.6586
dispute,27,55,79.821
dispute,31,2,90.0492
withdraw,19,6,71.6383
dispute,57,14,61.6693
resolve,18,95,0.5033
withdraw,88,43,5.3842
withdraw,61,55,6.3091
chargeback,73,45,97.9237
chargeback,97,47,98.8195
deposit,15,21,12.0259
chargeback,36,44,79.9064
withdraw,34,72,84.2407
dispute,27,95,96.6592
dispute,59,66,64.9569
withdraw,16,53,1.8221
chargeback,12,37,39.3732
dispute,72,99,72.0946
withdraw,19,82,63.0486
deposit,65,47,21.5275
deposit,40,42,97.6832
resolve,69,78,22.1473
chargeback,94,24,63.4419
deposit,24,29,85.5219
dispute,40,20,72.407
deposit,97,16,66.603
deposit,83,63,7.6337
deposit,10,15,37.0505
dispute,65,85,70.5747
resolve,63,54,45.8656
resolve,55,90,47.2386
dispute,51,81,74.7314
withdraw,31,97,95.4906
deposit,17,26,69.3835
deposit,98,54,55.3288
resolve,71,25,17.8635
deposit,45,2,29.6711
chargeback,81,54,79.7935
withdraw,19,20,6.974
chargeback,41,10,64.6681
resolve,78,95,2.9673
chargeback,70,17,96.2994
deposit,77,66,87.4092
chargeback,75,74,88.5328
dispute,40,87,95.944
withdraw,20,44,18.6972
dispute,99,73,8.3659
resolve,21,56,7.7569
resolve,34,28,46.1711
withdraw,63,91,92.3438
deposit,24,31,94.0994
withdraw,36,23,50.239
withdraw,23,58,41.5659
chargeback,48,67,84.9
deposit,72,39,17.8229
resolve,36,33,86.2689
resolve,4,67,76.2168
deposit,41,14,82.309
dispute,69,29,17.2019
resolve,40,37,58.1503
resolve,71,66,39.5321
resolve,30,74,2.5033
deposit,73,46,90.8693
deposit,45,91,83.1103
deposit,17,38,91.3414
dispute,34,82,65.163
deposit,57,40,88.6334
resolve,56,50,73.1398
deposit,1,70,72.0728
chargeback,42,45,8.7117
dispute,73,67,76.3128
chargeback,61,21,55.1436
deposit,16,50,35.6913
chargeback,5,57,62.909
resolve,22,56,3.8204
resolve,28,32,92.9723
dispute,28,41,89.617
dispute,39,89,87.9046
dispute,1,45,89.1414
chargeback,10,18,23.7753
deposit,91,95,78.0759
deposit,73,1,96.4185
chargeback,91,50,83.6401
chargeback,21,45,58.7707
dispute,17,69,2.9647
dispute,91,100,31.2975
withdraw,54,4,67.5284
deposit,45,82,19.5801
resolve,70,98,29.0653
chargeback,62,69,98.919
resolve,87,1,55.9918
withdraw,100,98,72.1422
resolve,34,37,77.7939
deposit,40,90,42.5564
resolve,66,25,77.8181
withdraw,91,79,30.035
dispute,33,99,27.8776
deposit,48,6,20.3238
chargeback,41,60,42.2074
resolve,35,29,3.8942
chargeback,57,51,27.2206
withdraw,37,16,57.1233
dispute,68,29,49.3997
withdraw,49,10,10.7012
dispute,5,40,89.2289
chargeback,82,41,45.3299
withdraw,89,67,73.0319
chargeback,36,76,64.1526
chargeback,84,17,38.2912
dispute,37,45,11.3059
dispute,78,10,75.8207
withdraw,64,39,83.6264
resolve,87,80,54.5138
resolve,34,21,62.2234
withdraw,31,75,73.1802
deposit,52,14,13.1454
resolve,76,96,7.2794
dispute,53,24,55.3792
chargeback,67,35,15.9444
withdraw,85,48,92.8221
deposit,20,47,75.0642
resolve,31,70,62.9193
deposit,53,20,72.5705
dispute,83,11,64.838
withdraw,14,4,59.8214
withdraw,67,72,45.7151
dispute,9,82,23.1277
dispute,5,55,92.7348
chargeback,49,20,72.1607
withdraw,92,37,42.825
deposit,100,79,32.3512
resolve,92,14,36.4622
dispute,90,63,83.7241
dispute,74,78,89.9714
chargeback,90,64,68.5895
resolve,8,82,7.3925
chargeback,75,73,30.3368
chargeback,86,6,83.7495
withdraw,23,50,98.4581
chargeback,31,60,91.9899
chargeback,19,7,71.9332
resolve,88,9,88.4029
dispute,34,55,12.2947
deposit,73,45,42.7611
withdraw,49,95,98.8828
withdraw,37,72,80.8368
chargeback,99,27,25.8629
chargeback,19,89,79.361
chargeback,10,5,28.9159
chargeback,55,35,48.3354
resolve,76,79,38.6755
chargeback,29,2,36.7053
deposit,52,67,39.4888
resolve,49,61,76.1527
withdraw,15,71,79.4195
chargeback,5,90,82.9961
chargeback,100,94,13.8933
dispute,95,25,34.6428
dispute,57,90,46.3586
withdraw,97,3,2.3598
resolve,95,82,41.4668
resolve,10,35,24.9726
chargeback,2,28,13.0477
resolve,7,97,10.688
dispute,14,16,12.0113
chargeback,40,100,55.5226
resolve,9,39,44.0332
withdraw,70,98,78.2701
resolve,99,24,2.0787
dispute,88,50,15.156
dispute,44,36,82.3837
withdraw,74,34,48.6241
withdraw,45,50,88.8789
chargeback,5,69,13.0476
resolve,32,34,68.4186
deposit,9,35,56.0928
chargeback,42,23,49.8288
resolve,24,89,8.1643
resolve,11,77,40.8906
deposit,48,18,14.7329
resolve,57,99,34.6969
resolve,88,40,95.9504
dispute,28,12,71.6553
resolve,28,28,27.0868
withdraw,23,8,15.1779
resolve,62,26,41.3239
dispute,97,32,30.6064
deposit,18,63,1.898
dispute,15,13,16.1243
withdraw,8,64,19.1329
dispute,15,37,57.6531
withdraw,31,60,86.463
dispute,93,24,27.7489
resolve,94,27,47.0425
resolve,88,36,4.0051
deposit,65,72,11.7051
withdraw,42,57,0.3341
deposit,81,42,35.1853
resolve,86,50,3.0634
withdraw,48,12,81.7075
dispute,3,12,93.3668
resolve,56,16,95.736
withdraw,70,84,2.7763
resolve,11,37,23.2075
withdraw,10,7,91.0597
dispute,92,15,46.1901
dispute,1,18,3.3148
chargeback,52,78,48.5495
dispute,96,67,57.9401
dispute,9,42,27.9537
resolve,39,29,59.4294
resolve,9,16,11.432
dispute,89,88,87.1239
chargeback,86,46,81.2916
deposit,72,21,28.9329
deposit,29,66,80.336
withdraw,55,72,67.9438
chargeback,51,67,41.4119
withdraw,63,27,26.0826
withdraw,41,71,13.0819
chargeback,89,45,28.6024
withdraw,73,75,50.3826
withdraw,72,1,70.7703
withdraw,62,53,91.2078
dispute,36,51,69.0284
withdraw,99,30,67.7083
resolve,12,31,23.0146
withdraw,18,70,54.642
